author,paintname
BeerbohmSir M, Rossetti’s Courtship
Beerbohm  Sir Max, The Sole Remark Likely to Have Been Made by Benjam Jowett abo the ral Paintgs at the Oxford Union
Beerbohm  Sir Max, Miss Cornfort ‘Oh  ve pleasedo meetr Ruskin  I’m sure’
Beerbohm  Sir Ma, Fo Madox Brn bei Patronized by Holman Hunt
Beerbohm  Sir Ma, A Momenta Vion that OncBefell Young Millais
Beerbohm  S Max,Springottage  Hampstead  1860
Beerboh Sir Max,Woner at Farringfor 1857
BeerbohmSir M, Blue China
Beerbohm  Sir Max, T Small Hours  th‘Sixties at6 Cheyne Walk
Beerbohm  Sir Max, Topsy and N Jones Settled  e Settle in R Lion Square
Beerbohm  Sir Max, Rossetti  having just had a fresh consignment of ‘stunning’ fabrics ... tries hard  prevail on h yoger sister  accept ... one
Beerbohm  Sir Max, Rossetti in his Worldli Days Leaving t undel Club wi George Augustus Sala
Beerbohm  Sir Max, Rossetti Insistently Exhorted by George Meredith to Come Forth into the Glorious S and Wi for a Wa to Hdon and Beyond
Beerbohm  Sir Ma,Mr Morley .ntroduces Mr Jn Stuart Mill
Beerbohm  Sir Max, Riverside Scene. Algernon Swinburne Tak his Gre New Frid Gossto See Gabriel Rossetti
Mapplethorpe  Robert, Smutty
Beerbohm  Sir Max, Mr Browning Brings Lady  Rank and shioto See Mr Rossetti
Beerbohm  Sir Max, Mr William Bell Scott Wondering Wh It  Those Fello Sm to See in Gabriel
Beerbohm  S Max, The Man om Hyttus. Mr Frederick Leighton
Beerboh Sir Max,Qu Custodiet Ipsum Custodem
Beerbohm  Sir Max, Mr - and Mi - Nervous Perpeating thTouch of a Vanished Hand
Beerbohm  Sir Max, The Name of Dante Gabriel Rossetti is Heard f the Fir Time inhe Wesrn States of America
Butle Reg, udy r Head of Watcher
Butle Reg, udy r Head of Watcher
Butle Reg, Stu foHead of Water
Clarke Hall  La Edna, Cathe Leaning on a Wa
Clarke Hall  Lady Edna, Catheri and HeathcliffeChildren. VersoFragmentary Figure
Clarke Hal Lady Edn,Caerine a Heathcliffe Walking
Clarke Hall  Ladna, SeateWoman
Clarke Hall  Lady Edna, Catherine Linton Seated at a Window During h La Illness. Ver:our Figures at Table
Clarke Hall  Lady Edna, Four Figur and Cat. Verso:tu of Hareton
Clarke Hall  Lady Edna, Nelly with Ba Hareton and Catri Earnshaw. Versosimilar composition
Clarke Hall  Lady Edna, Catherine t Younger a Haret. Verso:tudy of cows
Clarke Hall  Lady Edn, Study f Catrine. Vers Upminster Common
Clarke Hall  Lady Edn,Catherine andthcliffe Sitting in a Field
Jacoeff  Alexandre, Female Torso
Jacovleff  Alexdr,An Arm and nd
Jacovlef Alexdre, Recumbe Mod
Jacovle  exandre, Reclini Model
Jacovle  Alexdre, Seated Model
Jacovleff  Alexdr, Crouching Mel from the Side
Jacovleff  Alexdre, Crouching Modelrom the Front
Potte Helen Beaix, Frontispiece: The Tailor Mouse
Potter  Hel Beatri,The ilor  Gloucester at Work
Potte Hel Beatrix,La Mouse in Mob Cap
Potte Hel Beatrix,ThTailor Leaving his Workshop
Potter  Hel Beaix,ThTailor Returning Ho
Potter  Helentrix, Simpkin Housekeeping
Potte Hel Beatrix,ThTailor by the Hearth
Potte Helen Beaix, The Tailor Hears Noises
Potter  Helen Btrix, The Mice Escape
Potter  Helen Beatri,T Mice List to e Tailor’s Lament
Potte Hel Beatrix,‘Wre is My Twist?’
Potter  Helen Beatri,T Mice at Wk: Teading the Needle
Potte Helen Beaix, Simpkin Goes Out
Potte Helen Beatri,Simpkin in e Snowy Street
Potte Helen Beaix, Simpkin Hears the Mice
Potter  Hel Beatri,The ce Seng the Mayor’s Coat
Potte Helen Beatri,The Mice He Simpkin Outside
Potte Hel Beatrix,Sikin at the Tailor’s Bedside
Potter  Helen Beatrix, T Tail and SimpkiSetut for the Shop
Potter  Helen Btrix, The Finished Coat
Potter  Helen Btrix, ‘No More Twist’
Potte Hel Beatrix,ThMice Stitching Button-Holes
Grant  Duncan, Kinet Realisation  T044 made forate Gallery
Turne Joseph Maord lliam, Solitude
Turner  Joseph Mallo Willia,Solide  eraved by William Say
Turner  Joseph Mallo Willia,Millear t Grand Chartreuse
Turner  Joseph Mallord William, Mill ne the Gra Chartree  engved by Henry Dawe
Turner  Jose Mallord Willia,Entrance ofalais Harbour
Turne Joseph Mallo Wiiam, Dulane Abbey  Scotland
Turner  Joseph Mallord William, Dumblain Abbe Stland  engrad by Thomas Lupton
Turner  Joseph Mallo William, Norh Castle othe Tweed
