author,paintname
Varley  Cornelius, A Farmhouse. Verso: Group of Trees
Varley  Cornelius, An Anchor
Varley  John, Cottage at Bolton  Yorks.
Varley  John, View near Bolton Abbey  Yorks. Verso: Sketch
Varley  John, A House among Trees
Varley  John, Thames Wharves and Barges
Varley  John, Thames Wharves and Barges
Varley  John, Monochrome Composition: A Blot
Varley  John, Castle on the Coast
Varley  John, Woodland Scene
Varley  John, Landscape with Trees
Varley  John, Landscape with Trees
Varley  John, Composition  a Castle over a River
Varley  William Fleetwood, Composition: Mountain Landscape
Stanfield  Clarkson Frederick, Shipping in an Estuary
Pocock  Nicholas, Part of the Bay of Tenby - Northward
Pocock  Nicholas, Part of Tenby from the Beach near the Pier
Pocock  Nicholas, Tenby from the Bay (a Ship in the Middle Distance)
Pocock  Nicholas, Tenby from the Bay
Reinagle  Ramsay Richard, Classical Landscape
Ralston  John, Windmill and Sailing Boats
Richards  John Inigo, Near Isleworth
Richards  John Inigo, A Church
Richards  John Inigo, Carisbrooke Castle  Isle of Wight
Richards  John Inigo, Near the West Gate  Canterbury
Richards  John Inigo, Totnes
Richards  John Inigo, Siward Stone  Essex
Richards  John Inigo, From ye Inn  Maidenhead Bridge. Verso: Sketch of a Town below Hills
Richards  John Inigo, Bell Tower  Salisbury
Richards  John Inigo, Ruins of the Abbey at Drogheda
Richards  John Inigo, Houses in a Village
Richards  John Inigo, Ironworks  Fenton  Monmouth
Varley  John, Sketch from Nature
Varley  John, Sketch from Nature
Varley  John, Sketch from Nature
Varley  John, Sketch from Nature
Pocock  Nicholas, The Stanier Rock
Pocock  Nicholas, Snowdon on the Bangor Road about 7 Miles form Carnarvon. Verso: Sketch
Pocock  Nicholas, The Glen between Reinioge and Corwen
Pocock  Nicholas, Nearer the Quarries at Shillidear
Pocock  Nicholas, Inn and Village of Llanberis
Pocock  Nicholas, Cascade above Pont-y-Pandy
Pocock  Nicholas, Pont Iskergiliog
Pocock  Nicholas, Mill ?near Hinford
Pocock  Nicholas, Snowdon from the Road to Bangor 6 Miles from Carnarvon
British School 19th century, A Pool among Rocks
Munn  Paul Sandby, A Pool among Rocks. Sketching Club
Powell  Joseph, An Ancient Castle. Sketching Society Subject
Varley  John, An Ancient Castle. Sketching Society Subject
Varley  John, Landscape with Cliff  Caves at the Foot  a House in the Distance
Varley  John, A Cottage
Varley  John, A Cottage and a Bridge under a Hill. Verso: Sketch
Pickersgill  Henry Hall, Fairies on the Shore
Payne  William, Landscape with Donkeys
Pollard  Robert, Death of Henry V
Merivale  Francis, Copy of Rubens’ Watering Place  after F. Towne
Reynolds  Samuel William  Junior, A Landscape with Waterfall  an Artist Sketching in the Foreground
Poynter  Sir Edward, Cliffs at Tintagel
Etty  William, Titania
Taylor  Richard, A Cottage
Hogarth  William, George Taylor Triumphing over Death
Varley  John, Cottage at Bolton  Yorks.
Thornhill  Sir James, Design for a Pediment  St Paul
Thornhill  Sir James, Design for a Ceiling with Curved Ends. Verso: Numerous Designs for the Central Motif
Tollemache, Landscape with River and Trees
Pocock  Nicholas, Calshott Castle with the Isle of Wight from the Northward
Pocock  Nicholas, Itchen Ferry
Pocock  Nicholas, Dunnose  and Sandown Bay from Yaverland
Pocock  Nicholas, Sandown Bay
Sunderland  Thomas, In Scotland. By Mr Riddle
Sunderland  Thomas, A Road among Trees  with Travellers
Sunderland  Thomas, After Claude
Sunderland  Thomas, Spoletto after Vernet
Sunderland  Thomas, After Both
Sunderland  Thomas, The Bathers  after Vander Neer and Vander Werf
Sunderland  Thomas, Classical Landscape
Sunderland  Thomas, View in Scotland. From Mr Riddle
Sunderland  Thomas, A Lake among Mountains
Sunderland  Thomas, Lake of ?Lune. Thorncroft
Sunderland  Thomas, Brig of Stroan on Loch Ketteria
Sunderland  Thomas, Grasmere Lake
Sunderland  Thomas, Vale of Mawdach
Varley  John, The Ouse Bridge  York
Oram  W., Ideal Landscape
Jackson  Samuel Phillips, Wide Landscape with Cliffs and Sea
Pocock  Isaac, Taken from below the Ferry  Anglesea. Verso: Sketch
Ralph  Benjamin, Norwich Castle
Ralph  Benjamin, Godstow Nunnery
Brabazon  Hercules Brabazon, From Bordighera; a Seascape
Downman  John, In the Wood near Albano
Fripp  Alfred Downing, Capri; a Peasant Woman in a Mountainous Landscape
Pars  William, A Roman Monument at Igel in the Dutchy of Luxemburgh
Downman  John, The Town of Marino
Downman  John, The Lateran  Rome
Downman  John, Rocca del Papa and Monte Cavo
Downman  John, Monte Jove
Downman  John, The Wood near Marino
Downman  John, Trees near Albano. Light Trees
Downman  John, In the Wood near Albano
Downman  John, A Tree in the Wood near Albano
Cozens  Alexander, A Town beyond a Lake
Cozens  Alexander, Alpine Lake with Cottages
Cozens  Alexander, From New Method Plate 8 - a Waterfall
Barnard  Rev. William Henry, A River Scene  with Two Boats
Barnard  Rev. William Henry, A Building and Trees by the Sea (or on a Lake)
Barnard  Rev. William Henry, Pont Aberglaslyn
Barnard  Rev. William Henry, A Mansion in a Park
Barnard  Rev. William Henry, A Village Street
Barnard  Rev. William Henry, Meillerie. View on a Lake
Barnard  Rev. William Henry, The Mer de Glace and the Valley of Chamonix
Barnard  Rev. William Henry, A Burning Building
Barnard  Rev. William Henry, A Cottage in a Mountain Valley
Barnard  Rev. William Henry, A Castellated Mill on a Waterfall
Malchair  John Baptist, A Castellated Mill on a Waterfall  after Sir G. Beaumont
Barnard  Rev. William Henry, Tivoli
Hunt  William Henry, A Park  Castle in Distance
Hunt  William Henry, A Park
Hunt  William Henry, Studies of Tree Trunks
Hunt  William Henry, Open Landscape with Trees
Hoare  Sir Richard Colt, Near Exeter
Harding  James Duffield, Village with Church and Chapel
Hussey  Giles, Academy  Seated Figure
Hussey  Giles, Academy  Standing Figure
Holland  James, Venetian Scene
Haden  Sir Francis Seymour, Sketch of a Church  Italian (or Perhaps Spanish) under a Cliff
Haden  Sir Francis Seymour, Studies of Rabbits
Haden  Sir Francis Seymour, A Cottage
Haden  Sir Francis Seymour, Distant View of a Cottage
Harding  James Duffield, A Ship in an Estuary
Haden  Sir Francis Seymour, Portrait Study  a Head of a Woman. Verso: Sketch and a Caricature
Haden  Sir Francis Seymour, Portrait Study  a Head of a Man
Haden  Sir Francis Seymour, Porta del Carmine  Naples
Harding  James Duffield, Old Kiln  Hewetts Brickyard  Leamington
Hayter  Sir George, Miss Majendie  Half Length  Facing
Hills  Robert, Studies of Cows
Henderson  John, Shipping at Weymouth
Henderson  John, Dover
Hussey  Giles, Head of a Saint
Haughton  Moses  the Elder, A Shepherd
Henderson  John, Limekiln by an Estuary
Hayter  John, Mrs Whinny  in Profile to Left
Hassell  John, Church at Epsom
Heaphy  Thomas, Portrait of a Young Man
Henderson  John, A Monk
Henderson  John, A French Peasant Woman
Cristall  Joshua, Moorland Landscape. Verso: Sketch
Cristall  Joshua, Dolgelley
Benazech  Peter Paul, Classical Composition with Temple and Lake
Buck  Adam, Woman Praying
Buck  Adam, Woman and Child
Bright  Henry, Landscape with Lake and Mountains
Cozens  John Robert, Lake Albano with the Goatherd. Verso: Study of Trees
Berkeley  Rev C J R, Dolgelley
Boyne  John, Landscape  a Rocky Cove
Burnet  John, Dutch Peasant Family
British School 19th century, Semi-Caricature of Three Beggars
Becker  Ferdinand, Rome: In the Villa Borghese
Becker  Ferdinand, Rome: In the Farnesian Garden
Becker  Ferdinand, Rome: A Ruined Building
Becker  Ferdinand, Rome: Ruined Buildings
Becker  Ferdinand, Rome: Ruined Buildings
Becker  Ferdinand, Rome  the Tiber
Boyce  George Price, After Botticelli: Copy of the Simonetta
Flaxman  John, Enoch. Verso: Study of a Wrestler  Design for a Madonna; Profile of a Young Man
British School 18th century, Minerva Preserving to the World the Latin Grammar
British School 17th century, Title Page Vignette: The Comedies of Plautus
British School 18th century, A Young Man ?Weaving. Verso: A Loom
British School 19th century, Saint and Dragon
British School 19th century, Athens  View of the Propylaea
British School 18th century, Hermitage of St Ser in Provence
De Wint  Peter, View of Cromer
De Wint  Peter, View of Cromer  a Sheep in the Foreground
British School 18th century, Head of a Woman  Facing Half Right
British School 18th century, Harlech Castle
British School 17th century, A Sea Port
Martin  John, Trees
British School 19th century, View of Louvain
British School 19th century, View of Louvain
British School 19th century, View of Louvain
British School 18th century, Farmhouse
British School 18th century, Farmhouse
Bunbury  Henry William, The Longways Dance
Bunbury  Henry William, The Anglers. Caricature
Bunbury  Henry William, The Anglers. Three Men. Verso: Sketch
Bunbury  Henry William, Four Figures. Caricature. Verso: Drawings
Bunbury  Henry William, Mr Meredithe
Bunbury  Henry William, Two Figures  One Fully Worked Up  a Man with a Sword. Caricature
Bunbury  Henry William, Scene in a Coffee House. Caricature. Verso: Drawings
Bunbury  Henry William, Two Men Drinking at a Table
Bunbury  Henry William, Three Anglers
Bunbury  Henry William, The Minuet. Verso: Two heads  and Three Other Heads  Vertically
Bunbury  Henry William, The Scandalmongers  I
Bunbury  Henry William, Three Figures from a Harlequinade. Verso: Two Figures and a Head  and a Man with Pitchfork Attacking a Recumbent Harlequin
Varley  John, Landscape with River and Trees
Cooper  Richard  Junior, View in Italy
Cooper  George, Italian Landscape
Calvert  Charles, Coast Scene
Cipriani  Giovanni Battista, Sleeping Nymph and Putti
Lewis  George Robert, The Dolmen at Saumur
Lewis  George Robert, Dieppe
Landseer  Sir Edwin Henry, Studies of a Dog
Lambert, Lime Kiln near Frome
Lewis  George Robert, Louvain
Lewis  George Robert, Amsterdam
De Loutherbourg  Philip James, Peasants among Ruined Walls  Expostulating with Travellers
Gore  Charles, The Temple of Ceres  Segesta
Gravelot  Hubert François, Studies of Men Rowing
Grimm  Samuel Hieronymous, A Blue-Coat Boy
Laporte  John, A Cottage beyond a Meadow among Trees
British School 18th century, A Seated Woman Holding a Picture Supported by a Child
Grimm  Samuel Hieronymous, Bull and Oak-Tree
Downman  John, View on the Banks of the Tiber Three Miles from Rome
Downman  John, A Tree
Downman  John, The Colosseum  Rome
Girtin  Thomas, Hadrian’s Villa  after R. Wilson
Chatelain  Jean Baptiste Claude, Landscape Composition with a Town in the Distance
Chatelain  Jean Baptiste Claude, Landscape Composition
Chatelain  Jean Baptiste Claude, Landscape Composition
Chatelain  Jean Baptiste Claude, Landscape Composition with Church on the Right
Chatelain  Jean Baptiste Claude, Landscape Composition with a Lake in the Distance. Verso: Sketch
Gilpin  Rev. William, Landscape  Cliffs and Trees
Gilpin  Rev. William, Landscape  a River between Hills
Gilpin  Rev. William, Landscape
Gilpin  Rev. William, Landscape
Gilpin  Rev. William, Landscape
Gilpin  Rev. William, View of a Ruined Castle over a Gorge
Gilpin  Rev. William, Mountains and Lakes
Gilpin  Rev. William, Mountains and Lakes
Gilpin  Rev. William, Mountains and Lakes
Gilpin  Rev. William, Mountains and Lakes
Downman  John, View near Nice: The Rock on the Sea Shore
Downman  John, Near the City of Nice. (A Wide Valley)
Cozens  Alexander, Large Landscape Composition with Dead Tree on the Left
Ibbetson  Julius Caesar, A Derbyshire Landscape
Jackson  John, Portrait of a Young Man. ?E.M. Ward
Collings  Samuel, Artistic Butchery
Lewis  John Frederick, Barmouth
Liverseege  Henry, A Dwarf Seated on a Suit of Armour
Callcott  Sir Augustus Wall, Landscape: A Man under a Tree by a Stream
Callcott  Sir Augustus Wall, Vezzano: Mules Embarking on a Ferry Boat
Callcott  Sir Augustus Wall, Landscape with Trees and Hill
Laurence  Samuel, Head of a Man  Nearly Full Face. Verso: A Young Man  Seated  Half Length
Laurence  Samuel, Head of a Woman  Full Face. Verso: The Head of an Elderly Man  Almost in Profile to Left
Laurence  Samuel, Head of a Young Woman  Half Right
Laurence  Samuel, Head of an Elderly Man  Full Face
Laurence  Samuel, Head of a Woman  Full Face
Laurence  Samuel, Head of a Man  Almost Full Face
Laurence  Samuel, Baron Pollock. A Young Man  Three-Quarter Length  Seated
Laurence  Samuel, Baron Pollock. An Old Man  with Sketch of the Seated Whole Figure at Foot
Laurence  Samuel, Froude. Head of a Man  Half Left. Verso: Head of a Man  Full Face
Laurence  Samuel, Lyttelton. Head of Man  Nearly Full Face
Cotman  John Sell, Cows at a Pool  with Wooden Bridge
Cotman  John Sell, A Quayside  Barges Being Tarred
Cotman  John Sell, Cattle at a Stream under Trees
Cotman  John Joseph, Plants by a Stream
Cotman  John Joseph, Sailing Ships on a River. Verso: Study of a Wooden Fence and Trees
Long  Charles, View in North Devon
Turner  Daniel, Landscape with Trees
British School 19th century, Naples  View of a Tower
Foster  William, A ?Clown in Mock Military Costume
Fripp  George Arthur, View of Clifton Gorge
British School 18th century, Giants’ Causeway No. 2
Leech  John, Bathing
Knight  John Baverstock, Staffa
Keene  Charles Samuel, A Choir
Bunbury  Henry William, Sheet of Caricature Heads (Eleven). Verso: (a) Two Men Conversing; (b) A Man and Woman Embracing
Bunbury  Henry William, A Man and a Woman in a Gig Arriving at an Inn
Bunbury  Henry William, Four Men
Bunbury  Henry William, Three Figures
Bunbury  Henry William, A Young Man Standing by a Table
Bunbury  Henry William, The Scandalmongers  II
Bunbury  Henry William, Old Soldier with Petition
Bunbury  Henry William, Roche Brasiliano
Bunbury  Henry William, Sentries Outside a Box. Verso: A Caricature Head to be Looked at Both Ways
Bunbury  Henry William, Various Sketches  Possibly Theatrical: A Nymph and a Figure with Asses’ Ears Blowing a Trumpet  Carrying a Banner; a Similar Pair; Two Female Figures under a Tree  and a Comic Putto or Faun; Studies for These; A Standing Woman. Double-Sided
Bunbury  Henry William, An ?Actress  Another Figure Behind
Bunbury  Henry William, Caricature of a Scotsman. Verso: Similar Sketches
Bunbury  Henry William, A Man Wearing One Top-Boot. Verso: Heads  Etc.  and a Scrawl
Bunbury  Henry William, Six Heads  One that of a Woman in a High Headdress
Bunbury  Henry William, Petitioner and Patron
Bunbury  Henry William, Two Figures  Possibly Theatrical
Gainsborough  Thomas, Landscape with Castle and Carriage
Taylor  Richard, Cottage and Figures
Devis  Anthony, A Rocky Coast Scene
Devis  Anthony, Park Scene with House and Cottage
Damer  Anne Seymour, Landscape with Horsemen and Trees
Downman  John, A Woman Artist. Verso: Two Groups of Three Heads
British School 19th century, Lovers Meeting by Moonlight in a Garden
Collins  William, View in a Wood
Jefferys  James, Romantic Landscape with Lake and Trees. Verso: A Mountainous Landscape with Figures and Trees
Collins  William, Study of Trees
Alken  Henry Thomas, A Hunting Scene
Van Assen  Benedict Anthony, Tailpiece. A Man with a Pole
Alken  Samuel  Senior, Landscape with Trees and a Low House
Alken  Samuel  Senior, A Ruined Castle on a Hill. ?Corfe Castle
Alken  Samuel  Senior, A Gothic ?Abbey with Four Towers  Two of Them Octagonal
Wykeham Archer  J., The Crypt of Gerrard’s or Gisors Hall  Basing Lane. Verso: Goods Being Unloaded from Vans
Cotman  John Sell, A Farm Horse
Cotman  John Sell, A Farm Horse. Verso: Drawing
Cotman  John Sell, A Farm Horse. Verso: Drawing
Cotman  John Sell, A Farm Horse
Cotman  John Sell, A Haycart. Verso: Drawing
Cotman  John Sell, A Haycart. Verso: Drawing
Alken Family, Camp Scene
Alken Family, Camp Scene
Alken Family, Camp Scene
Alken Family, Camp Scene
Alken Family, Camp Scene
Alken Family, Camp Scene
Lewis  John Frederick, Sheet from a Sketchbook Used in Spain
Lewis  John Frederick, Sheet from a Sketchbook Used in Spain
Lewis  John Frederick, Sheet from a Sketchbook Used in Spain
Lewis  John Frederick, Sheet from a Sketchbook Used in Spain
Callcott  Sir Augustus Wall, [title not known] Verso: Tracing of Image on Recto
Callcott  Sir Augustus Wall, [title not known] Verso: Tracing of Image on Recto
Cozens  Alexander, A Tree
Goodall  Edward Angelo, The Head of a Rhinoceros. Verso: Studies of a Peacock and Two Other Birds
Bonington  Richard Parkes, Three Parrots
Taylor  Richard, Ruins of Heidelberg Castle
Taylor  Richard, Landscape with Outcrop of Rock
Laporte  John, Two Cottages
British School 19th century, Jane Shore Doing Penance through the Streets of London between Two Monks
Bartolozzi  Francesco, Eros and Psyche
Laporte  John, A Wood
Laporte  John, Meadows at the Edge of a Wood  Sheep Grazing
Laporte  John, A Lake and Distant Hills beyond Trees
Laporte  John, A Water-Mill
Laporte  John, A Rocky Lane  with Dead Tree  a Cottage in the Distance
Laporte  John, Classical Landscape with River and Temple
Laporte  John, Landscape with Trees and Cottages
Laporte  John, Park Scene with Deer
Laporte  John, Studies of Two Trees  Larch Fir and Birch
Laporte  John, A Cottage beyond a Stream amid Trees
Laporte  John, A road with an Inn
Laporte  John, A Lake beyond Trees
Laporte  John, A Glade in a Wood
Cole  George Vicat, A Boy
Aylesford  Heneage Finch  Fourth Earl of, The Handel Celebration in Westminster Abbey
Murray  Charles Fairfax, Portrait of Ruskin as St Paul
Murray  Charles Fairfax, Scene from Classical Mythology. Three Figures
Murray  Charles Fairfax, A Warrior Seated outside a Greek Building  by a Standing Girl. Verso: Sketch
Murray  Charles Fairfax, Five Angels around a Book
Murray  Charles Fairfax, A Classical Boar Hunt  Perhaps from a Sarcophagus
Aylesford  Heneage Finch  Fourth Earl of, A House on a Tree-Covered Slope above a River
Aylesford  Heneage Finch  Fourth Earl of, A Winding Stream between Clumps of Trees
Aylesford  Heneage Finch  Fourth Earl of, Cottage and Timber Yard
Aylesford  Heneage Finch  Fourth Earl of, Caricature: Two Versions of the Same Large Head  and a Smaller Head
Aylesford  Heneage Finch  Fourth Earl of, Italian Landscape. Verso: Sketch of a Head
Aylesford  Heneage Finch  Fourth Earl of, A House in the Dutch Style  by a Church Spire
Aylesford  Heneage Finch  Fourth Earl of, A Castle near a Bridge  Wooded Hills Beyond
Aylesford  Heneage Finch  Fourth Earl of, Landscape with Bridges  River and Cottage
Wilson  Richard, Two Peasants under a Tree
Beaumont  Sir George Howland  Bt, [title not known] Verso: Sketch
Beaumont  Sir George Howland  Bt, [title not known] Verso: Sketches of Heads
Rigby  Elizabeth, Sketch of the Castle of Bacharach
Rigby  Elizabeth, [title not known] Verso: Sketch
Rigby  Elizabeth, [title not known] Verso: Sketch
Rigby  Elizabeth, [title not known] Verso: Sketch
Rigby  Elizabeth, [title not known] Verso: Sketch
Rigby  Elizabeth, [title not known] Verso: Sketch
Rigby  Elizabeth, [title not known] Verso: Sketch
Rigby  Elizabeth, [title not known] Verso: Sketch
Rigby  Elizabeth, [title not known] Verso: Sketch
Rigby  Elizabeth, Two Women
Aylesford  Heneage Finch  Fourth Earl of, House with Barns. Verso: A Circus
Aylesford  Heneage Finch  Fourth Earl of, A Wooden Bridge under Trees in a Park
Aylesford  Heneage Finch  Fourth Earl of, A Bare Hill Top  in Wooded Country
Aylesford  Heneage Finch  Fourth Earl of, A Cottage in a Park
Aylesford  Heneage Finch  Fourth Earl of, A Cottage in a Park. Verso: A Drawing
Aylesford  Heneage Finch  Fourth Earl of, An Amphitheatre  Possibly in Sicily
Aylesford  Heneage Finch  Fourth Earl of, A Ruined Classical Tomb under Trees
Aylesford  Heneage Finch  Fourth Earl of, A Wooden Bridge over a Stream among Trees. Verso: Drawing
Aylesford  Heneage Finch  Fourth Earl of, Shipping on an Estuary  a Windmill in the Distance
Aylesford  Heneage Finch  Fourth Earl of, Two Figures: An Italian Cab Driver and an Old Man
Aylesford  Heneage Finch  Fourth Earl of, A House under a Rock Face. Verso: Sketches
Aylesford  Heneage Finch  Fourth Earl of, Sicilian View
Aylesford  Heneage Finch  Fourth Earl of, Interior of Sta Maria degli Angeli  Rome
Aylesford  Heneage Finch  Fourth Earl of, Interior of St Peter’s  Rome
Aylesford  Heneage Finch  Fourth Earl of, Interior of St Peter’s  Rome
Aylesford  Heneage Finch  Fourth Earl of, Interior of the Pantheon  Rome
Aylesford  Heneage Finch  Fourth Earl of, Interior of the Pantheon  Rome
Aylesford  Heneage Finch  Fourth Earl of, Sculptured Tomb in a Landscape
Aylesford  Heneage Finch  Fourth Earl of, Road Scene with Crucifix in Middle Distance
Williams  Hugh William, The Three Sisters  Bothwell. (Rocks under Trees)
Turton  M., Lake View with Trees
British School 18th century, Abingdon
Aylesford  Heneage Finch  Fourth Earl of, An Italian Farmhouse
Aylesford  Heneage Finch  Fourth Earl of, A Lane between Barns
Adam  Robert, Composition: River in a Gorge
Laporte  John, Studies of Two Trees - Aspen and Alder
Newton  Ann Mary, View of Naples
Sunderland  Thomas, Pilatus
Tassaert  Philippe Joseph, An Artist’s Studio
Cristall  Joshua, A River Scene
British School 18th century, Knights on Horseback Fighting
Powell  Joseph, From Leatherhead Bridge
May  Phil, Waiter and Diner. Caricature
British School 19th century, A Shipwreck Incident
Sunderland  Thomas, View of a Lake in the Alps
Williams  Hugh William, A Group of Trees
British School 19th century, Lord William and the Ghost of his Nephew
Cristall  Joshua, Study of Tree Trunks
Cristall  Joshua, Hastings from the White Rocks
Cristall  Joshua, Head of Fisherman  Hastings
Cristall  Joshua, At Margate. Verso: Sketches
Cristall  Joshua, Studies of a Boy  Girls Bathing and Washing Clothes. Verso: Drawing
Cristall  Joshua, Near Bethgellert
Harding  James Duffield, Study of Grass-Grown Ruins
Pocock  Nicholas, Portsmouth from the Road Near St Helens
Hoppner  John, Landscape with Trees and Hills
Cristall  Joshua, Monnow Bridge
Cristall  Joshua, [title not known] Verso: Sketch
Cristall  Joshua, [title not known] Verso: Sketch
Cristall  Joshua, Wastdale Head: A Tarn
Cristall  Joshua, [title not known] Verso: Sketch
Cristall  Joshua, [title not known] Verso: Sketch
Cristall  Joshua, Scottish Landscape with Figures
Cristall  Joshua, [title not known] Verso: Sketch
Cristall  Joshua, Pine Trees  Borrowdale
Stothard  Thomas, A Sea Fight. A Cutter Attacking a Man of War
Stothard  Thomas, A Wooded River Bank
Stothard  Thomas, A Seascape
Stothard  Thomas, A Seascape  a Fort on a Distant Spit of Sand
Stothard  Thomas, A Valley with a Stream
Stothard  Thomas, A Cave Surrounded by Trees
Stothard  Thomas, Connock Hills
Stothard  Thomas, Bramble with Blackberries
Stothard  Thomas, Trophy of Turkish and Other Arms. Design for a Tailpiece
Stothard  Thomas, A Small Plant
Stothard  Thomas, A Small Plant
Stothard  Thomas, Deadnettle  White Flowers
Stothard  Thomas, Standards  Trumpets and a Laurel Wreath. Design for a Tailpiece
Stothard  Thomas, Alisma Plantago
Stothard  Thomas, Studies of a Group of Spectators  Women  Nude Warriors  Etc. Verso: Angels and Floating Figures Surrounding a Female Figure
Stothard  Thomas, Studies of a Group of Female Spectators. Verso: Similar Figures
Stothard  Thomas, A Sheet with 21 Small Studies of Groups or Incidents. Verso: Designs for Ornamental Cartouches  Etc.
Stothard  Thomas, Designs for a Picture with Scottish Characters. Verso: Studies of a Woman and a Man
Stothard  Thomas, Scene in a Church with Figures Below. Verso: Sketch
Stothard  Thomas, Scene in Elizabethan Costume  Noblemen Meeting a Beggar Woman
Stothard  Thomas, Nuns before an Altar. Verso: Two Nuns
Stothard  Thomas, A Sheet of Sketches of Men in Tudor Costume. Verso: Various Unconnected Sketches of Figures  including a Rider
Stothard  Thomas, A Group Seated round a Table  and a Couple outside a Church Door. Verso: Another Version of the Second Subject
Stothard  Thomas, Two Seated Figures
Stothard  Thomas, A Mediaeval Figure Seated in Front of a Gothic Window. Verso: Figure of ?a Scotsman
Stothard  Thomas, Rough Sketch of a Group of Figures
Stothard  Thomas, Three Figures  with a Kneeling Woman. Verso: Sketch of a Child’s Head
Stothard  Thomas, Girl with a Lamp  and Another
Stothard  Thomas, Head of a Man in Profile to Right
Stothard  Thomas, Group of Three Standing Women. Verso: A Larger Drawing
Stothard  Thomas, A Seated Woman  with a Gaoler
Stothard  Thomas, A Sacrifice. Four Figures. Design with an Arched Top
Stothard  Thomas, A Sacrifice
Stothard  Thomas, A Woman with Pole or Spear
Stothard  Thomas, Two Seated Figures with a Mirror. Verso: A Girl  Half Length  to Left
Stothard  Thomas, Two Kneeling Figures
Stothard  Thomas, A Group  Kneeling Figures to Left  and a Flying Figure
Stothard  Thomas, Design for a Frieze. An Antique Head  Oak Sprays and Goats
Stothard  Thomas, Preparatory Sketches for a Design for a Frieze. Verso: Designs for a Vase
Stothard  Thomas, Design for a Frieze  Sprays Etc. and an Antique Head in Profile.
Stothard  Thomas, Ornamental Scroll  Squirrels among the Foliage
Stothard  Thomas, Designs for ?a Ceiling with Circular Central Panel  Fairies  Putti  &c.
Stothard  Thomas, Front and Side View of a Female Caryatid
Stothard  Thomas, Preparatory Studies for a Female Caryatid. Verso: Sketch
Stothard  Thomas, Design for a Frieze - Boys with a Panther  Putti Bearing Baskets of Flowers  Etc. Below  Rough Sketches of Similar Figures.
Stothard  Thomas, A Sheet of Studies for a Design for a Frieze  or a Similar Subject
Stothard  Thomas, Sketches of a Putto and a Panther
Stothard  Thomas, A Putto with a Panther
Stothard  Thomas, Two Recumbent Boys and a Panther  Part of a Frieze. Verso: Sketch
Stothard  Thomas, Seated Nymph and Two Putti
Stothard  Thomas, Section of a Frieze of Grape-Pickers
Stothard  Thomas, A Man  Girls and Children Pursued by a Bear. Verso: Studies of Women Bathing  Etc.
Stothard  Thomas, Design for a Frieze. A Chariot in a Victorious Procession
Stothard  Thomas, A Satchel and a Bottle Hanging from a Pole
Stothard  Thomas,Studies for the Wellington Shield: A Draped Female Figure Holding a Spherical Object
Stothard  Thomas, Studies for ‘Don Quixote’. Verso: Studies of Lear  Diana  Etc.
Stothard  Thomas, Study for ‘Don Quixote’: Don Quixote and Sancho Riding  and Other Figures
Stothard  Thomas, Study for ‘Don Quixote’: Sancho’s Supper. Verso: Studies for the Fairy Queen
Stothard  Thomas, Study for ‘Don Quixote’: Title Vignette; A Trophy of Arms and a White Mule
Stothard  Thomas, Study for ‘Don Quixote’: Sancho and the Duchess
Stothard  Thomas, Satan  Sin and Death: Standing Figures
Stothard  Thomas, Satan  Sin and Death: Three Studies of a Seated Man and Woman
Stothard  Thomas, A Miracle
Stothard  Thomas, Study Connected with J. Ritson’s ‘Caledonian Muse’: A Group of Nude Fighting Men. Verso: Various Studies Including a Group Seated round a Table
Stothard  Thomas, Study Connected with J. Ritson’s ‘Caledonian Muse’: Men with Spears  Fighting. Verso: Sketch
Stothard  Thomas, Woman and Baby  Figures of a Prelate  Etc.
Stothard  Thomas, Two Children in Stuart Costume. Verso: Sketches of a Child’s Head
Stothard  Thomas, A Woman and Child  Sketches. Verso: A Male Figure
Stothard  Thomas, A Man Surrounded by his Family  ?About to Be Arrested
Stothard  Thomas, Designs for Rundell and Bridge’s Transparency
Stothard  Thomas, Illustration to Goldsmith’s ‘Vicar of Wakefield’: Studies of a Girl and Children
Stothard  Thomas, Illustration to Goldsmith’s ‘Vicar of Wakefield’: Studies of a Girl
Stothard  Thomas, Designs for an Illustration to ‘Rob Roy’: Preliminary Sketches. Verso: Sketches for the Same Subject
Stothard  Thomas, Design for an Illustration to ‘Rob Roy’
Stothard  Thomas, Illustration to ‘Clarissa’: Two Women Standing
Stothard  Thomas, Illustration to ‘Clarissa’: Three Sketches  Standing and Stooping Figures. Verso: Sketches
Stothard  Thomas, Illustration to Dryden’s ‘Fables’: A Girl Seated in an Arbour. Study for ‘The Flower and the Leaf’
Stothard  Thomas, Design for Johnson’s ‘History of Rasselas’: Studies of Standing Figures and Similar Oriental Subjects. Verso: Sketches
Stothard  Thomas, Sketches of Men Smoking and Drinking  ?for an Illustration to Burns
Stothard  Thomas, Illustration to the Fourth of Young’s ‘Night Thoughts’
Stothard  Thomas, Study for the Figure of Nina in Voltaire’s Opera. Verso: A Group Supporting a Woman  and Other Figures  Connected with ‘Amintor and Theodora’
Stothard  Thomas, Design for Illustration to ‘Chinese Tales’; ‘History of Jezdael’: Four Studies of a Girl Shooting with a Bow. Verso: Sketches
Stothard  Thomas, Design for Illustration to ‘Chinese Tales’; ‘History of Jezdael’: Study of a Woman Wearing a Stole or Shawl  and Two Seated Figures. Verso: Drawing
